a1,a2,class
25.32042338129047,21.816622732330337,1
27.79682372949846,17.524489443780173,1
25.79184855851899,18.918231448912117,1
25.195546995675883,16.819018132117893,1
22.249705115850134,20.92902424733117,1
27.81716243207341,21.135520926574337,1
26.210875312302118,16.966183329092708,1
25.243627529063748,19.26994406827535,1
29.530388632465478,18.09581460733495,1
28.339211788391083,18.16510876369201,1
26.598134786754198,19.75673250872961,1
25.57712966947216,18.0237041607467,1
28.371687234579056,18.00675212522321,1
24.841662314348355,20.679418443553086,1
26.07385743795633,20.051931466807435,1
26.016137832010003,15.292250173003652,1
27.36823966301168,17.88015711587891,1
25.992288628529742,20.57884747445604,1
27.0616817698152,16.320237141871907,1
26.177387391984237,16.12352842456597,1
22.80100694414747,17.163537365559947,1
29.04513092515943,16.098002165899427,1
25.057223186488905,21.58267805202131,1
25.050594084339767,16.315590930153444,1
26.598447608559567,17.00560714430339,1
25.614817297773854,24.073252341568026,1
29.4337764891846,19.608372293317323,1
27.547605388428057,17.533415612118937,1
28.09550299158267,21.14509051765679,1
25.772432219817105,17.96840055252767,1
24.523764873803966,18.572183218165975,1
22.874393101825675,22.214130994331754,1
27.16945986255049,16.13984014264922,1
26.176754904488746,18.95060065469621,1
24.870844039237376,20.628742460412127,1
27.318404904737218,14.826023243743723,1
23.95425124372404,13.506687184409596,1
23.478772869588074,13.674169150358892,1
29.311994588732453,19.231791307939705,1
25.171846044736494,19.036161376475047,1
29.428894875076814,13.523339899751608,1
23.007412473730287,17.353090519173243,1
26.719238433513276,19.478901863315794,1
26.026744987126893,19.44700086636794,1
28.126850632892463,13.91404370370878,1
25.381484927235796,21.499932195725645,1
26.315308622407166,17.536495079000183,1
26.45561247989262,13.605841408196625,1
26.344569782001923,19.014359205116172,1
22.862584633921873,21.495594319053797,1
23.973073223014833,17.597557668432326,1
25.46465225378514,17.27471861608895,1
25.726389546317318,17.95085844702865,1
23.191282311430612,20.38393967105294,1
28.04136912709039,19.480910969903587,1
27.50698840234058,14.995668127793168,1
28.17894728967334,16.36321676890175,1
27.68205635815378,22.083183813463812,1
24.012144033946573,20.12429271719963,1
23.038228723401648,16.785764828648272,1
26.180470660948984,16.592304675420056,1
26.38770509477056,15.493337066609342,1
26.743338051878276,19.77297092261521,1
25.526388620179457,19.329167202534258,1
27.23121557566861,16.570677682730924,1
30.193622282461455,18.401901318806537,1
21.179804344411753,17.496069369513407,1
25.754075139944344,18.528805527137813,1
26.254432650777158,18.53820816632207,1
25.044659909867217,17.518966284419704,1
25.38392441062681,14.432993298033448,1
21.769983766248345,23.596289428113113,1
26.443391809008425,16.220390559638975,1
27.68897470685803,21.852002724698693,1
21.58938912331582,19.592369535960174,1
23.449233724147444,16.865206391577082,1
23.335537223672176,15.74410092442536,1
23.129498580002018,16.23549541419192,1
30.61443142814552,19.706577488388408,1
28.60929295985828,17.181508398842407,1
25.637876561486898,20.65686163179261,1
23.146503642952013,17.02709183362207,1
27.539294887216258,16.698766302094263,1
25.13646665445345,21.05011539047607,1
23.931719795828236,17.922192002124497,1
26.850769239174053,18.517275826575535,1
24.98628770112432,20.08369204988821,1
21.456658170262138,18.807818312095513,1
27.811347597809714,15.170607632007524,1
25.979478502561477,17.305801437050732,1
23.86576618067156,16.577094572453365,1
26.902111400365058,18.119353371027763,1
31.076425420689674,17.145522645022858,1
23.781470761450564,18.030861176954584,1
27.34014548827586,18.090028637156323,1
23.74549807479859,19.061918693103877,1
25.151985117260992,16.3956616550302,1
26.646643982287944,18.182585908093316,1
27.578060213365042,16.499383373371742,1
26.471752784701685,15.771068183083031,1
35.25418064731928,35.457278364888616,2
32.82221701766323,35.53592843824635,2
32.68126153166963,35.74039736628628,2
33.90179094401761,35.37460383344252,2
34.94695717675789,35.93231724282238,2
33.33106833723146,35.33878353361004,2
32.70112074011851,36.643087957373524,2
34.164770087329174,35.12863679784689,2
35.321179720147725,36.039927475339496,2
34.366119925867835,33.96299185871581,2
33.748303469779295,36.043308965400705,2
